Action,Date,Price,Capital
Sell,2020-03-26,2630.07,10148.213295876829
Sell,2020-03-27,2541.47,10173.577552776085
Sell,2020-03-30,2626.65,10147.812334772181
Sell,2020-03-31,2584.59,10159.791118677502
Sell,2020-04-01,2470.5,10193.462755172473
Sell,2020-04-02,2526.9,10175.675965080727
Sell,2020-04-03,2488.65,10187.167127453735
Sell,2020-04-06,2663.68,10132.751171805425
Sell,2020-04-07,2659.41,10133.955325168945
Buy,2020-04-08,2749.98,10160.002593102485
Buy,2020-04-09,2789.82,10171.307292395795
Buy,2020-04-13,2761.63,10163.277844243321
Buy,2020-04-14,2846.06,10186.993009092566
Buy,2020-04-15,2783.36,10169.568777518123
Buy,2020-04-16,2799.55,10174.055648347214
Buy,2020-04-17,2874.56,10195.089559942093
Buy,2020-04-20,2823.16,10180.78614934792
Buy,2020-04-21,2736.56,10156.837218852446
Buy,2020-04-22,2799.31,10174.286823006618
Buy,2020-04-23,2797.8,10173.868515080858
Buy,2020-04-24,2836.74,10184.413248099965
Buy,2020-04-27,2878.48,10195.765839160416
Buy,2020-04-28,2863.39,10191.648107298493
Buy,2020-04-29,2939.51,10212.049725731675
Buy,2020-04-30,2912.43,10204.845578402379
Buy,2020-05-01,2830.71,10183.413077969559
Buy,2020-05-04,2842.74,10186.578159388177
Buy,2020-05-05,2868.44,10193.430280584676
Buy,2020-05-06,2848.42,10188.046976163268
Buy,2020-05-07,2881.19,10196.716328666365
Buy,2020-05-08,2929.8,10209.656932505051
Buy,2020-05-11,2930.19,10209.76086041952
Buy,2020-05-12,2870.12,10193.495304356658
Buy,2020-05-13,2820.0,10179.962700262133
Buy,2020-05-14,2852.5,10188.68490947976
Buy,2020-05-15,2863.7,10191.708516928999
Buy,2020-05-18,2953.91,10216.368963478862
Buy,2020-05-19,2922.94,10208.010466675114
Buy,2020-05-20,2971.61,10220.991191738625
Buy,2020-05-21,2948.51,10214.826693923838
Buy,2020-05-22,2955.45,10216.65230522335
Buy,2020-05-26,2991.77,10226.337905836835
Buy,2020-05-27,3036.13,10238.217703690381
Buy,2020-05-28,3029.73,10236.500984196076
Buy,2020-05-29,3044.31,10240.338614347951
Buy,2020-06-01,3055.73,10243.377023926725
Buy,2020-06-02,3080.82,10250.129224713965
Buy,2020-06-03,3122.87,10261.525869590756
Buy,2020-06-04,3112.35,10258.66941332967
Buy,2020-06-05,3193.93,10280.451590058336
Buy,2020-06-08,3232.39,10290.623995136339
Buy,2020-06-09,3207.18,10283.935790461228
Buy,2020-06-10,3190.14,10279.470801125968
Buy,2020-06-11,3002.1,10230.930699131217
Buy,2020-06-12,3041.31,10241.421896700007
Buy,2020-06-15,3066.59,10248.204138220452
Buy,2020-06-16,3124.74,10263.910330979923
Buy,2020-06-17,3113.49,10260.881384119779
Buy,2020-06-18,3115.34,10261.371461741775
Buy,2020-06-19,3097.74,10256.645545047395
Buy,2020-06-22,3117.86,10261.971334701939
Buy,2020-06-23,3131.29,10265.555348971906
Buy,2020-06-24,3050.33,10243.735306725244
Buy,2020-06-25,3083.76,10252.789009093138
Buy,2020-06-26,3009.05,10232.47801437182
Buy,2020-06-29,3053.24,10244.531844589746
Buy,2020-06-30,3100.29,10257.371677519384
Buy,2020-07-01,3115.86,10261.618814169871
Buy,2020-07-02,3130.01,10265.512524016842
Buy,2020-07-06,3179.72,10279.314359734732
Buy,2020-07-07,3145.32,10269.778104576686
Buy,2020-07-08,3169.94,10276.547512008672
Buy,2020-07-09,3152.05,10271.600249921039
Buy,2020-07-10,3185.04,10280.605876652147
Buy,2020-07-13,3155.22,10272.438246845926
Buy,2020-07-14,3197.52,10283.914576490177
Buy,2020-07-15,3226.56,10291.798899971793
Buy,2020-07-16,3215.57,10288.80197497786
Buy,2020-07-17,3224.73,10291.263332549228
Buy,2020-07-20,3251.84,10298.62179477867
Buy,2020-07-21,3257.3,10300.110942526419
Buy,2020-07-22,3276.02,10305.27159124106
Buy,2020-07-23,3235.66,10294.069312038324
Buy,2020-07-24,3215.63,10288.542203318868
Buy,2020-07-27,3239.41,10295.027828983688
Buy,2020-07-28,3218.44,10289.276837399264
Buy,2020-07-29,3258.44,10300.122276444516
Buy,2020-07-30,3246.22,10296.805718502945
Buy,2020-07-31,3271.12,10303.470381850193
Buy,2020-08-03,3294.61,10309.791092540627
Buy,2020-08-04,3306.51,10313.010967552735
Buy,2020-08-05,3327.77,10318.8130908345
Buy,2020-08-06,3349.16,10324.684890214143
Buy,2020-08-07,3351.28,10325.270156111083
Buy,2020-08-10,3360.47,10327.834604945961
Buy,2020-08-11,3333.69,10320.296881780458
Buy,2020-08-12,3380.35,10333.31504025705
Buy,2020-08-13,3373.43,10331.387249978165
Buy,2020-08-14,3372.85,10331.227950854583
Buy,2020-08-17,3381.99,10333.69821531423
Buy,2020-08-18,3389.78,10335.822391175458
Buy,2020-08-19,3374.85,10331.714194753826
Buy,2020-08-20,3385.51,10334.612380100614
Buy,2020-08-21,3397.16,10337.80612721187
Buy,2020-08-24,3431.28,10347.233759171595
Buy,2020-08-25,3443.62,10350.649355333362
Buy,2020-08-26,3478.73,10360.439651665774
Buy,2020-08-27,3484.55,10362.064645524148
Buy,2020-08-28,3508.01,10368.672928703794
Buy,2020-08-31,3500.31,10366.49503445903
Buy,2020-09-01,3526.65,10373.849045516792
Buy,2020-09-02,3580.84,10389.030291438872
Buy,2020-09-03,3455.06,10353.924835803855
Buy,2020-09-04,3426.96,10345.942991087333
Buy,2020-09-08,3331.84,10319.127261620131
Buy,2020-09-09,3398.96,10338.248214399096
Buy,2020-09-10,3339.19,10321.351886745171
Buy,2020-09-11,3340.97,10321.855585020525
Buy,2020-09-14,3383.54,10334.021872473333
Buy,2020-09-15,3401.2,10339.062736500879
Buy,2020-09-16,3385.49,10334.554331568374
Buy,2020-09-17,3357.01,10326.467065375158
Buy,2020-09-18,3319.47,10315.883957497685
Buy,2020-09-21,3281.06,10305.107826367277
Buy,2020-09-22,3315.57,10314.74514372277
Buy,2020-09-23,3236.92,10292.757742319263
Buy,2020-09-24,3246.59,10295.479175851493
Buy,2020-09-25,3298.46,10310.192590816941
Buy,2020-09-28,3351.6,10325.206464744393
Buy,2020-09-29,3335.47,10320.668440506905
Buy,2020-09-30,3363.0,10328.333041906702
Buy,2020-10-01,3380.8,10333.302747746888
Buy,2020-10-02,3348.42,10324.213813698105
Buy,2020-10-05,3408.6,10341.005989342137
Buy,2020-10-06,3360.97,10327.79550841113
Buy,2020-10-07,3419.44,10343.98201429026
Buy,2020-10-08,3446.83,10351.522855808264
Buy,2020-10-09,3477.14,10359.890810412619
Buy,2020-10-12,3534.22,10375.679916366973
